Year,Gender,Name,Team
1981,M,J. Kevin King,Phi Gamma Delta
1981,M,Gary Palmer,Wissler V
1980,M,Bill Brissman,Delta Chi
1980,M,Chris Gutowsky,Delta Chi
1980,M,Doug Tate,Delta Chi
1980,M,Alan Williams,Delta Chi
1980,M,Tony Albanese,Willkie South III
1980,M,Paul Berg,Phi Kappa Psi
1980,M,Mike Emoff,Alpha Epsilon Pi
1980,M,Pete Gruber,Chi Phi
1980,M,John Hayden,Pi Kappa Phi
1980,M,Kevin King,Phi Gamma Delta
1980,M,Kent MacPherson,Acacia
1980,M,Doug Moody,Phi Kappa Psi
1980,M,Gary Palmer,Wissler V
1980,M,John Rosner,Pi Kappa Phi
1980,M,Steve Smith,Pi Kappa Phi
1979,M,Doug Tate,Delta Chi
1979,M,Bill Brissman,Delta Chi
1979,M,Alan Williams,Delta Chi
1979,M,Greg Silence,Delta Chi
1979,M,Steve Koenig,Kappa Sigma
1979,M,David Filbey,Alpha Sigma Phi
1979,M,John Hayden,Pi Kappa Phi
1979,M,Gary Gaddis,Delta Tau Delta
1978,M,Larry Micon,Alpha Epsilon Pi
1978,M,Mark Needham,Phi Gamma Delta
1978,M,Dave Schapker,Sigma Nu
1978,M,Steve Salmon,Tau Kappa Epsilon
1978,M,Todd Emoff,Alpha Epsilon Pi
1978,M,Jeff Kurzawa,Sigma Phi Epsilon
1978,M,Doug Moody,Phi Kappa Psi
1978,M,Stuart Kelly,Phi Kappa Psi
1978,M,Tim Cummings,Phi Kappa Psi
1978,M,Paul Berg,Phi Kappa Psi
1977,M,Mike Alexander,Delta Chi
1977,M,Garry Rybar,Delta Chi
1977,M,Jeff Pollom,Delta Chi
1977,M,Rob Brown,Delta Chi
1977,M,Jay Allardt,Phi Gamma Delta
1977,M,Larry Micon,Alpha Epsilon Pi
1977,M,Howard May,Phi Kappa Psi
1977,M,Ed Hawes,Phi Kappa Psi
1977,M,Greg Brown,Velo-Man
1977,M,Steve McClain,Velo-Man
1976,M,Mark Dayton,Delta Chi
1976,M,Garry Rybar,Delta Chi
1976,M,Roger Antoniu,Delta Chi
1976,M,Mike Alexander,Delta Chi
1976,M,Jay Allardt,Phi Gamma Delta
1976,M,Howard May,Phi Kappa Psi
1976,M,Rusty Harrell,Phi Kappa Psi
1976,M,Don Jones,Delta Tau Delta
1976,M,Dave Rubenking,Dodds House
1976,M,Dave Garriott,Theta Xi
1975,M,Pete King,Phi Gamma Delta
1975,M,Mark Dayton,Delta Chi
1975,M,Garry Rybar,Delta Chi
1975,M,Phil Sheridan,Phi Kappa Psi
1975,M,Don Ballard,Delta Tau Delta
1975,M,Roger Brown,Kappa Sigma
1975,M,Dave Rubenking,Dodds House
1975,M,Jay Allardt,Phi Gamma Delta
1975,M,Charlie Turk,Phi Gamma Delta
1975,M,Eric King,Phi Gamma Delta
1974,M,Bob Kirkwood,Kappa Sigma
1974,M,Ron Martin,Dodds House
1974,M,Warren Meinschein,Phi Gamma Delta
1974,M,Michael Rose,Sigma Chi
1974,M,Phil Sheridan,Phi Kappa Psi
1973,M,Bill Canida,Phi Gamma Delta
1973,M,Peter DeWitt,Phi Kappa Psi
1973,M,Jim Kendall,Briscoe Quad
1973,M,Bob Kirkwood,Kappa Sigma
1973,M,Eddie Krause,Theta Chi
1973,M,Bob Shanteau,Kappa Sigma
1972,M,Kris Bank,Acacia
1972,M,Peter DeWitt,Phi Kappa Psi
1972,M,Jim Kendall,Briscoe Quad
1972,M,Eddie Krause,Theta Chi
1972,M,Eddy Van Guyse,Delta Chi
1972,M,Mark Wade,Sigma Phi Epsilon
1971,M,Mark Bailey,Sigma Nu
1971,M,Glenn Curtis,Acacia
1971,M,Mike Howard,Dodds House
1971,M,Eddie Krause,Theta Chi
1971,M,Mark Malangoni,Phi Kappa Psi
1971,M,Eddy Van Guyse,Delta Chi
1970,M,Mark Bailey,Sigma Nu
1970,M,John Elliot,Delta Tau Delta
1970,M,Mike Howard,Dodds House
1970,M,Mike Koch,Dodds House
1970,M,Carlo Logan,Alpha Tau Omega
1970,M,Eddy Van Guyse,Delta Chi
1969,M,Tom Battle,Sigma Phi Epsilon
1969,M,Mike Bell,Kappa Sigma
1969,M,Dan Fowler,Acacia
1969,M,Mike Koch,Dodds House
1969,M,Gib Miller,Sigma Nu
1969,M,Glynn Olson,Phi Delta Theta
1969,M,Dave Padgett,Phi Delta Theta
1968,M,Tom Battle,Sigma Phi Epsilon
1968,M,Mike Bell,Kappa Sigma
1968,M,Jim Davis,Delta Upsilon
1968,M,Bill Hoelker,Phi Kappa Theta
1968,M,Vic Thompson,Sigma Alpha Epsilon
1968,M,Jack Wehner,Phi Kappa Theta
1967,M,Malcolm Beckner,Sigma Phi Epsilon
1967,M,Bill Hoelker,Phi Kappa Theta
1967,M,Jim Knauer,Alpha Tau Omega
1967,M,Dave Padgett,Phi Delta Theta
1967,M,Chuck Richards,Sigma Nu
1967,M,Charles Taylor,Theta Chi
1966,M,Bob Bailey,Sigma Alpha Epsilon
1966,M,Jerry Bradley,Phi Gamma Delta
1966,M,Morrie Erickson,Sigma Alpha Epsilon
1966,M,Jim Knauer,Alpha Tau Omega
1966,M,Steve Powell,Phi Gamma Delta
1966,M,Chuck Richards,Sigma Nu
1965,M,Brock Blosser,Beta Theta Pi
1965,M,Eric Christophersen,Sigma Alpha Epsilon
1965,M,"Skip Higgins, Jr.",Kappa Delta Rho
1965,M,Ivan Johns,Alpha Tau Omega
1965,M,Rick Huff,Phi Delta Theta
1965,M,Terry Townsend,Phi Kappa Psi
1964,M,Jerry Bradley,Phi Gamma Delta
1964,M,Ross Creekmore,Sigma Nu
1964,M,Eddie Doerr,Alpha Tau Omega
1964,M,Larry Miller,Dodds House
1964,M,Alan Somers,Phi Kappa Psi
1964,M,Steve Tesich,Phi Kappa Psi
1964,M,Claude Thompson,Sigma Alpha Epsilon
1963,M,Brock Blosser,Beta Theta Pi
1963,M,Eddie Doerr,Alpha Tau Omega
1963,M,Larry Miller,Dodds House
1963,M,Dave Parks,Phi Gamma Delta
1963,M,Steve Tesich,Phi Kappa Psi
1963,M,Terry Townsend,Edmondson II
1962,M,Bob Bolyard,Sigma Alpha Epsilon
1962,M,Dave Brown,Acacia
1962,M,Tom Cook,Chi Phi
1962,M,Larry Miller,Dodds House
1962,M,Dave Perks,Phi Gamma Delta
1962,M,Terry Townsend,Edmondson II
1961,M,Tom Bolyard,Sigma Alpha Epsilon
1961,M,Jeff Coulter,Phi Gamma Delta
1961,M,Henry Hudson,Lambda Chi Alpha
1961,M,Don Leedy,Phi Kappa Psi
1961,M,Gary Long,Sigma Nu
1961,M,John Odusch,Phi Kappa Psi
1960,M,Dave Brown,Acacia
1960,M,Mac Crosbie,Sigma Alpha Epsilon
1960,M,Gary Long,Sigma Nu
1960,M,Jerry Tardy,Phi Gamma Delta
1960,M,Dave Thulin,Sigma Alpha Epsilon
1960,M,Dave Wilson,Delta Chi
1955,M,Bill Forney,West Fall Trojans
1955,M,Bill Mann,Acacia
1955,M,Fred Mercer,Sigma Nu
1955,M,Clarence Doninger,Sigma Nu
1952,M,Russ Keller,North Hall Friars
1951,M,Bob  Moore,South Hall Buccaneers
